全国地方公共団体コード,都道府県名,市区町村名,集計時点_年月日,曜日,検査実施人数,,
330001,岡山県,,2020/2/1,土,0,,
330001,岡山県,,2020/2/2,日,0,,
330001,岡山県,,2020/2/3,月,1,,
330001,岡山県,,2020/2/4,火,0,,
330001,岡山県,,2020/2/5,水,1,,
330001,岡山県,,2020/2/6,木,0,,
330001,岡山県,,2020/2/7,金,1,,
330001,岡山県,,2020/2/8,土,0,,
330001,岡山県,,2020/2/9,日,1,,
330001,岡山県,,2020/2/10,月,0,,
330001,岡山県,,2020/2/11,火,0,,
330001,岡山県,,2020/2/12,水,0,,
330001,岡山県,,2020/2/13,木,0,,
330001,岡山県,,2020/2/14,金,1,,
330001,岡山県,,2020/2/15,土,0,,
330001,岡山県,,2020/2/16,日,1,,
330001,岡山県,,2020/2/17,月,0,,
330001,岡山県,,2020/2/18,火,1,,
330001,岡山県,,2020/2/19,水,4,,
330001,岡山県,,2020/2/20,木,2,,
330001,岡山県,,2020/2/21,金,4,,
330001,岡山県,,2020/2/22,土,1,,
330001,岡山県,,2020/2/23,日,3,,
330001,岡山県,,2020/2/24,月,1,,
330001,岡山県,,2020/2/25,火,5,,
330001,岡山県,,2020/2/26,水,2,,
330001,岡山県,,2020/2/27,木,3,,
330001,岡山県,,2020/2/28,金,6,,
330001,岡山県,,2020/2/29,土,3,,
330001,岡山県,,2020/3/1,日,3,,
330001,岡山県,,2020/3/2,月,8,,
330001,岡山県,,2020/3/3,火,4,,
330001,岡山県,,2020/3/4,水,15,,
330001,岡山県,,2020/3/5,木,8,,
330001,岡山県,,2020/3/6,金,9,,
330001,岡山県,,2020/3/7,土,7,,
330001,岡山県,,2020/3/8,日,1,,
330001,岡山県,,2020/3/9,月,3,,
330001,岡山県,,2020/3/10,火,9,,
330001,岡山県,,2020/3/11,水,33,,
330001,岡山県,,2020/3/12,木,3,,
330001,岡山県,,2020/3/13,金,9,,
330001,岡山県,,2020/3/14,土,4,,
330001,岡山県,,2020/3/15,日,3,,
330001,岡山県,,2020/3/16,月,6,,
330001,岡山県,,2020/3/17,火,9,,
330001,岡山県,,2020/3/18,水,6,,
330001,岡山県,,2020/3/19,木,9,,
330001,岡山県,,2020/3/20,金,9,,
330001,岡山県,,2020/3/21,土,3,,
330001,岡山県,,2020/3/22,日,4,,
330001,岡山県,,2020/3/23,月,13,,
330001,岡山県,,2020/3/24,火,14,,
330001,岡山県,,2020/3/25,水,6,,
330001,岡山県,,2020/3/26,木,10,,
330001,岡山県,,2020/3/27,金,34,,
330001,岡山県,,2020/3/28,土,15,,
330001,岡山県,,2020/3/29,日,10,,
330001,岡山県,,2020/3/30,月,12,,
330001,岡山県,,2020/3/31,火,20,,
330001,岡山県,,2020/4/1,水,25,,
330001,岡山県,,2020/4/2,木,25,,
330001,岡山県,,2020/4/3,金,35,,
330001,岡山県,,2020/4/4,土,34,,
330001,岡山県,,2020/4/5,日,19,,
330001,岡山県,,2020/4/6,月,17,,
330001,岡山県,,2020/4/7,火,38,,
330001,岡山県,,2020/4/8,水,30,,
330001,岡山県,,2020/4/9,木,31,,
330001,岡山県,,2020/4/10,金,39,,
330001,岡山県,,2020/4/11,土,26,,
330001,岡山県,,2020/4/12,日,9,,
330001,岡山県,,2020/4/13,月,19,,
330001,岡山県,,2020/4/14,火,33,,
330001,岡山県,,2020/4/15,水,27,,
330001,岡山県,,2020/4/16,木,27,,
330001,岡山県,,2020/4/17,金,36,,
330001,岡山県,,2020/4/18,土,31,,
330001,岡山県,,2020/4/19,日,24,,
330001,岡山県,,2020/4/20,月,16,,
330001,岡山県,,2020/4/21,火,26,,
330001,岡山県,,2020/4/22,水,19,,
330001,岡山県,,2020/4/23,木,26,,
330001,岡山県,,2020/4/24,金,36,,
330001,岡山県,,2020/4/25,土,37,,
330001,岡山県,,2020/4/26,日,15,,
330001,岡山県,,2020/4/27,月,12,,
330001,岡山県,,2020/4/28,火,35,,
330001,岡山県,,2020/4/29,水,20,,
330001,岡山県,,2020/4/30,木,23,,
330001,岡山県,,2020/5/1,金,26,,
330001,岡山県,,2020/5/2,土,24,,
330001,岡山県,,2020/5/3,日,8,,
330001,岡山県,,2020/5/4,月,10,,
330001,岡山県,,2020/5/5,火,3,,
330001,岡山県,,2020/5/6,水,13,,
330001,岡山県,,2020/5/7,木,18,,
330001,岡山県,,2020/5/8,金,23,,
330001,岡山県,,2020/5/9,土,28,,
330001,岡山県,,2020/5/10,日,5,,
330001,岡山県,,2020/5/11,月,20,,
330001,岡山県,,2020/5/12,火,37,,
330001,岡山県,,2020/5/13,水,32,,
330001,岡山県,,2020/5/14,木,17,,
330001,岡山県,,2020/5/15,金,53,,
330001,岡山県,,2020/5/16,土,19,,
330001,岡山県,,2020/5/17,日,5,,
330001,岡山県,,2020/5/18,月,10,,
330001,岡山県,,2020/5/19,火,19,,
330001,岡山県,,2020/5/20,水,18,,
330001,岡山県,,2020/5/21,木,15,,
330001,岡山県,,2020/5/22,金,22,,
330001,岡山県,,2020/5/23,土,3,,
330001,岡山県,,2020/5/24,日,0,,
330001,岡山県,,2020/5/25,月,9,,
330001,岡山県,,2020/5/26,火,9,,
330001,岡山県,,2020/5/27,水,13,,
330001,岡山県,,2020/5/28,木,12,,
330001,岡山県,,2020/5/29,金,9,,
330001,岡山県,,2020/5/30,土,7,,
330001,岡山県,,2020/5/31,日,4,,
330001,岡山県,,2020/6/1,月,7,,
330001,岡山県,,2020/6/2,火,15,,
330001,岡山県,,2020/6/3,水,7,,
330001,岡山県,,2020/6/4,木,9,,
330001,岡山県,,2020/6/5,金,10,,
330001,岡山県,,2020/6/6,土,14,,
330001,岡山県,,2020/6/7,日,3,,
330001,岡山県,,2020/6/8,月,6,,
330001,岡山県,,2020/6/9,火,10,,
330001,岡山県,,2020/6/10,水,10,,
330001,岡山県,,2020/6/11,木,9,,
330001,岡山県,,2020/6/12,金,8,,
330001,岡山県,,2020/6/13,土,10,,
330001,岡山県,,2020/6/14,日,6,,
330001,岡山県,,2020/6/15,月,3,,
330001,岡山県,,2020/6/16,火,13,,
330001,岡山県,,2020/6/17,水,4,,
330001,岡山県,,2020/6/18,木,7,,
330001,岡山県,,2020/6/19,金,3,,
330001,岡山県,,2020/6/20,土,0,,
330001,岡山県,,2020/6/21,日,2,,
